phrase;rel_page;2018-11-09;2018-11-10;2018-11-11;2018-11-12;2018-11-13;2018-11-14;2018-11-15;2018-11-16;2018-11-17;2018-11-18;2018-11-19;2018-11-20;2018-11-21;2018-11-22;2018-11-23
соль мертвого моря для ванн купить;https://da-vita.ru/catalog/sol-mertvogo-morya.html;15;15;16;15;14;18;15;15;15;13;11;14;13;14;13
соль мертвого моря для волос;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;5;4;4;4;4;4;4;4;4;4;4;4;4;4;3
соль мертвого моря для лица;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;2;2;2;2;2;2;4;2;2;3;3;2;2;2;2
соль мертвого моря для тела;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
соль мертвого моря израиль;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;2;1;1;1;1;1;1;2;1;1;3;1;1;1;1
соль мертвого моря купить;https://da-vita.ru/catalog/sol-mertvogo-morya.html;9;10;7;6;7;8;8;10;6;7;6;7;7;6;7
соль мертвого моря купить спб;https://da-vita.ru/catalog/sol-mertvogo-morya.html;10;8;8;5;5;5;5;6;5;7;8;7;9;8;8
соль мертвого моря натуральная;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;2;2;2;1;2;2;2;2;1;2;1;2;1;2;2
соль мертвого моря полезные свойства;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
соль мертвого моря применение;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2
состав соли мертвого моря;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;5;6;6;5;6;5;8;5;4;7;5;5;5;5;5
средства для жирной кожи головы купить;https://da-vita.ru/catalog/dlya-jirnoi-koji-golovi.html;12;10;14;14;14;90;19;18;17;20;16;17;15;11;25
средства для лечения кожи головы купить;-;101;96;87;85;84;101;101;101;101;98;98;100;101;101;101
средства для сухой кожи головы купить;https://da-vita.ru/catalog/dlya-suhoi-koji-golovi.html;12;11;14;14;15;13;13;11;11;13;10;11;8;8;8
средства для чувствительной кожи головы купить;https://da-vita.ru/catalog/dlya-chuvstvitelnoi-koji-golovi.html;4;3;7;7;7;7;15;7;7;7;6;6;9;9;10
средства от акне;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
средства от грибка кожи головы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
средства от зуда кожи головы купить;https://da-vita.ru/catalog/ot-zuda-i-shelusheniya-koji-golovi.html;6;6;6;6;6;6;9;6;8;5;6;5;5;5;5
средства от купероза на лице;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
средства от перхоти цена;https://da-vita.ru/catalog/ot-perhoti.html;95;95;85;85;38;82;83;81;31;34;27;28;24;26;26
средства от секущихся кончиков волос купить;https://da-vita.ru/catalog/dlya-sekushchihsya-konchikov-volos.html;90;17;46;101;101;22;20;50;88;86;86;87;18;89;89
средство от акне;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
средство от жирных волос купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
средство от кругов под глазами купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
средство от купероза на лице;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
средство от мешков под глазами купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
средство от отеков под глазами купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
средство от перхоти для мужчин купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
средство от перхоти купить;https://da-vita.ru/catalog/ot-perhoti.html;31;33;44;35;34;36;40;41;30;42;25;28;27;26;25
средство от раздражения на коже купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
средство от секущихся волос купить;https://da-vita.ru/catalog/dlya-sekushchihsya-konchikov-volos.html;101;101;91;101;101;101;94;98;96;88;91;101;97;96;96
средство от черных точек на носу купить;https://da-vita.ru/catalog/kosmetika-ot-chernih-tochkek.html;9;8;10;10;11;11;11;11;24;12;13;16;10;10;16
сс крем на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
сс крем с лифтинг эффектом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
сыворотка ahava;https://da-vita.ru/catalog/sivorotki-serumi-ahava.html;16;15;16;16;19;22;33;40;25;24;23;34;32;20;20
сыворотка dr sea;https://da-vita.ru/catalog/sivorotki-dlya-lica-dr-sea.html;33;33;33;33;33;49;32;48;36;36;35;41;33;40;40
сыворотка sea of spa;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/ukreplyayushchii_serum_dlya_lica_dlya_vseh_tipov_koji_bio_marine.html;30;28;41;40;19;84;86;86;21;26;22;22;22;22;22
сыворотка гиалуроновой кислоты цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
сыворотка для глаз sea of spa;https://da-vita.ru/catalog/sivorotki-balzami-losoni-s-aloe/aktivnaya_sivorotka_dlya_koji_vokrug_glaz_alternative_plus_.html;42;39;43;42;44;58;42;44;42;58;54;45;55;42;41
сыворотка для лица dr sea;https://da-vita.ru/catalog/sivorotki-dlya-lica-dr-sea.html;38;38;42;35;42;38;34;37;39;42;38;38;39;42;44
сыворотка для лица sea of spa укрепляющая;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/ukreplyayushchii_serum_dlya_lica_dlya_vseh_tipov_koji_bio_marine.html;16;12;20;11;21;11;11;11;11;11;16;11;11;11;10
сыворотка для лица израильская косметика;https://da-vita.ru/catalog/izrailskie-sivorotki-dlya-lica.html;4;4;4;5;4;3;3;3;3;5;4;3;3;3;3
сыворотка обогащенная черной икрой;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
сыворотка с витамином с купить;https://da-vita.ru/catalog/sivorotki-s-vitaminom-c.html;101;101;22;22;23;23;23;26;27;40;27;24;22;23;22
сыворотка с витамином с цена;https://da-vita.ru/catalog/sivorotki-s-vitaminom-c.html;20;22;22;26;25;23;30;25;27;23;21;19;20;27;21
сыворотка с золотом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
сыворотки premier;https://da-vita.ru/catalog/sivorotki-serumi-premier.html;7;7;6;7;7;7;7;6;6;7;6;19;19;7;18
термальная маска black pearl;https://da-vita.ru/catalog/kosmetika-ot-chernih-tochkek/termalnaya_razogrevayushchaya_maska_dlya_lica.html;4;4;4;4;4;6;4;4;4;5;4;5;7;3;3
тканевые маски для лица купить;https://da-vita.ru/catalog/tkanevie.html;81;81;50;81;49;47;80;82;86;89;90;90;91;89;89
тканевые маски купить;https://da-vita.ru/catalog/tkanevie.html;43;43;46;47;53;45;46;64;45;45;38;41;57;40;41
тональный крем для жирной кожи купить;https://da-vita.ru/catalog/kremi-dlya-jirnoi-koji.html;87;48;56;34;36;35;34;34;101;82;83;85;82;82;82
тональный крем для жирной кожи на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
тональный крем для комбинированной кожи купить;https://da-vita.ru/catalog/bb-cc-tonalnie-kremi/tonal-nii-krem-oil-free-dlya-jirnoi-i-kombinirovannoi-koji-ton-101.html;101;101;101;101;101;101;101;101;101;101;81;81;101;101;61
тональный крем для лета стойкий;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
тональный крем для лица на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
тональный крем для проблемной кожи на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
тональный крем для цветотипа лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
тональный крем на весну;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
тональный крем на весну для комбинированной кожи;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
тональный крем на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
тональный крем на лето для комбинированной кожи;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
тональный крем на лето для сухой кожи;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
тоник dr sea;https://da-vita.ru/catalog/kosmetika-s-kastorovim-maslom/mineralnii_ochishchayushchii_tonik_s_ekstraktami_aloe_vera_i_ogurca.html;10;10;12;11;12;12;15;15;14;17;14;15;14;10;11
тоник для лица для чего он нужен;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
увлажняющая маска для волос купить;https://da-vita.ru/catalog/uvlajnyayushchie-pitatelnie-maski-dlya-volos.html;33;17;15;15;15;17;16;15;15;16;15;20;25;15;16
увлажняющие маски для кудрявых волос купить;https://da-vita.ru/catalog/uvlajnyayushchie-pitatelnie-maski-dlya-volos.html;42;41;38;36;40;38;40;42;39;39;41;40;40;39;41
увлажняющие маски для рук купить;https://da-vita.ru/catalog/uvlajnyayushchie-pitatelnie-maski-dlya-volos.html;68;68;74;71;74;75;73;74;77;78;78;78;76;76;45
увлажняющие маски купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
увлажняющий гель для душа купить;https://da-vita.ru/catalog/uvlajnyayushchie-koju-geli-dlya-dusha.html;15;15;12;18;19;18;19;19;18;17;17;17;20;23;19
увлажняющий крем dr sea;https://da-vita.ru/catalog/rastitelnie-masla/uvlajnyayushchii_krem_s_maslami_olivi_i_papaii_i_ekstraktom_zelenogo_chaya_spf_15.html;71;63;62;61;63;60;61;61;62;61;59;58;53;72;55
увлажняющий крем mon platin dsm;https://da-vita.ru/catalog/nedorogie-kremi-dlya-lica/uvlajnyayushchii-krem-dlya-normalnoi-koji.html;65;61;62;98;61;62;61;64;64;64;59;61;56;57;55
увлажняющий крем для лета;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;11;72;72;79;79;89;90;88;85;82;82;80;80;80;80
увлажняющий крем для лица на лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;13;11;11;11;10;10;10;11;11;17;11;10;10;10;11
успокаивающая маска для лица купить;https://da-vita.ru/catalog/maski-uspokaivayushchie-dlya-chuvstvitelnoi-koji-lica.html;37;25;34;34;33;34;34;34;32;34;30;40;40;33;33
успокаивающая маска купить;https://da-vita.ru/catalog/zajivlyayushchie-uspokaivayushchie.html;24;26;31;33;28;26;30;31;35;40;40;30;28;26;26
филлер для волос купить;https://da-vita.ru/catalog/filleri-i-ampuli-dlya-volos.html;17;19;21;20;101;22;19;20;31;27;21;22;25;21;21
хлавин косметика;https://da-vita.ru/catalog/lavilin__hlavin.html;7;7;6;6;6;6;8;6;7;8;7;8;7;7;7
целебная грязь мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;2;2;3;3;3;3;3;2;2;2;2;2;2;3;2
целебная грязь мертвого моря отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
цена на израильскую косметику;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;5;2;2;2;2;2;2;5;2;3;3;2;2;2;2
что такое акне;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
шампуни premier;https://da-vita.ru/catalog/shampuni-ot-vipadeniya-volos/shampun-ot-vipadeniya-volos-premier.html;5;6;6;6;6;6;6;7;7;7;6;6;6;6;7
шампунь dr sea;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь dr sea купить;https://da-vita.ru/catalog/dlya_volos_drsea.html;54;54;47;50;52;52;53;55;57;57;54;56;53;58;54
шампунь health beauty;-;101;101;101;90;101;101;101;101;101;101;101;101;101;101;101
шампунь mon platin dsm;https://da-vita.ru/catalog/ochishchenie-problemnoi-koji-golovi/mineralnii-gryazevoi-shampun-s-oblepihovim-maslom.html;54;40;40;64;40;48;47;48;48;51;46;67;39;39;39
шампунь mon platin dsm купить;https://da-vita.ru/catalog/mon-platin-dsm.html;43;44;52;50;49;90;23;15;24;19;18;29;16;12;14
шампунь активатор роста волос купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь активатор роста волос цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь гель для душа для мужчин купить;https://da-vita.ru/catalog/gel-shampun-dlya-mujchin.html;30;30;32;27;29;27;28;29;43;31;27;28;32;27;29
шампунь для блеска волос купить;https://da-vita.ru/catalog/shampuni-dlya-bleska-volos.html;16;16;24;16;16;15;17;17;15;16;14;15;17;17;17
шампунь для волос dr sea;https://da-vita.ru/catalog/shampuni-ot-vipadeniya-volos/ozdoravlivayushchii_gryazevoi_shampun_s_ekstraktami_krapivi_i_romashki.html;33;34;33;32;57;33;51;33;35;35;33;33;48;34;34
шампунь для волос с маслом арганы купить;https://da-vita.ru/catalog/shampuni-dlya-volos-s-arganovim-maslom/acidshampoo.html;51;43;39;36;37;44;48;91;51;48;46;49;45;46;49
шампунь для волос цена;https://da-vita.ru/catalog/shampuni.html;50;52;53;43;53;49;47;51;54;58;51;50;47;48;62
шампунь для глубокой очистки волос купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь для кудрявых волос купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь для окрашенных волос цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь для роста волос для мужчин купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь для светлых волос купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь для смешанного типа волос купить;https://da-vita.ru/catalog/bezsul-fatnie-shampuni.html;82;84;85;86;97;88;80;89;81;82;74;78;76;80;81
шампунь для укрепления волос купить;https://da-vita.ru/catalog/shampuni-dlya-ukrepleniya-volos.html;2;2;1;1;2;5;1;2;2;2;1;3;1;1;1
шампунь на основе соли мертвого моря;https://da-vita.ru/catalog/dlya_volos_man/mineralnii-shampun.html;46;46;55;47;50;52;50;51;53;52;45;46;53;46;50
шампунь на основе соли мертвого моря отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь нормальных волос купить;https://da-vita.ru/catalog/dlya-normalnih-volos.html;93;91;91;12;13;97;101;101;86;21;18;18;18;18;17
шампунь от выпадения волос цена;https://da-vita.ru/catalog/shampuni-ot-vipadeniya-volos.html;24;24;23;30;25;23;23;37;35;28;25;49;35;77;77
шампунь от желтизны волос купить;https://da-vita.ru/catalog/shampuni-protiv-jeltizni-volos.html;33;34;34;50;58;34;36;36;40;44;37;39;36;36;36
шампунь от перхоти health beauty;https://da-vita.ru/catalog/ochishchenie-problemnoi-koji-golovi/shampun-ot-perhoti-s-mikroshelkom.html;91;91;93;93;91;87;88;88;69;66;67;69;87;88;91
шампунь против выпадения волос для мужчин купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь против выпадения волос купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь против желтизны волос купить;https://da-vita.ru/catalog/shampuni-protiv-jeltizni-volos.html;30;31;33;31;37;40;37;42;57;40;40;39;35;36;35
шампунь с кератином для волос купить;https://da-vita.ru/catalog/shampuni-s-keratinom.html;31;29;38;30;32;31;35;43;59;36;30;33;32;30;30
шампунь с кератином для волос цена;https://da-vita.ru/catalog/shampuni-s-keratinom.html;53;38;101;34;83;93;93;93;97;98;98;98;91;90;90
шампунь с солью мертвого моря;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;77;79;74;75;33;74;77;79;74;76;76;76;73;73;71
экспресс кондиционер для волос купить;https://da-vita.ru/catalog/ekspress-kondicioneri-dlya-volos.html;5;11;5;5;5;14;5;7;6;10;5;7;4;4;4
элитная косметика для лица;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
элитная косметика для мужчин;https://da-vita.ru/catalog/mujchinam.html;6;7;5;7;8;6;9;9;8;10;7;6;10;11;11
элитная мужская косметика;https://da-vita.ru/catalog/mujchinam.html;6;7;8;10;8;7;9;9;8;7;6;7;9;7;8
эффективный крем от грибка ногтей на ногах;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
