phrase;rel_page;2018-10-19;2018-10-20;2018-10-21;2018-10-22;2018-10-23;2018-10-24;2018-10-25;2018-10-26;2018-10-27;2018-10-28;2018-10-29;2018-10-30;2018-10-31
тональный крем на весну;-;101;101;101;101;101;101;101;101;101;101;101;101;101
тональный крем на весну для комбинированной кожи;-;101;101;101;101;101;101;101;101;101;101;101;101;101
тональный крем на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101
тональный крем на лето для комбинированной кожи;-;101;101;101;101;101;101;101;101;101;101;101;101;101
тональный крем на лето для сухой кожи;-;101;101;101;101;101;101;101;101;101;101;101;101;101
тоник dr sea;https://da-vita.ru/catalog/kosmetika-s-kastorovim-maslom/mineralnii_ochishchayushchii_tonik_s_ekstraktami_aloe_vera_i_ogurca.html;25;25;24;25;25;25;25;20;25;25;20;26;26
тоник для лица для чего он нужен;-;101;101;101;101;101;101;101;101;101;101;101;101;101
увлажняющая маска для волос купить;https://da-vita.ru/catalog/uvlajnyayushchie-pitatelnie-maski-dlya-volos.html;18;18;20;19;21;11;21;21;27;18;24;21;20
увлажняющие маски для кудрявых волос купить;https://da-vita.ru/catalog/uvlajnyayushchie-pitatelnie-maski-dlya-volos.html;25;26;26;30;29;25;32;29;32;33;35;37;23
увлажняющие маски для рук купить;https://da-vita.ru/catalog/lico.html;101;101;101;101;101;101;101;101;85;84;85;101;74
увлажняющие маски купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
увлажняющий гель для душа купить;https://da-vita.ru/catalog/uvlajnyayushchie-koju-geli-dlya-dusha.html;20;20;20;24;12;17;24;19;25;25;16;16;14
увлажняющий крем dr sea;https://da-vita.ru/catalog/rastitelnie-masla/uvlajnyayushchii_krem_s_maslami_olivi_i_papaii_i_ekstraktom_zelenogo_chaya_spf_15.html;50;46;48;51;70;65;66;64;69;65;66;74;72
увлажняющий крем mon platin dsm;https://da-vita.ru/catalog/nedorogie-kremi-dlya-lica/uvlajnyayushchii-krem-dlya-normalnoi-koji.html;75;73;72;77;74;72;73;73;58;68;57;51;61
увлажняющий крем для лета;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;101;101;101;101;101;101;101;101;90;92;101;12;13
увлажняющий крем для лица на лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;10;14;14;13;14;14;15;14;15;15;15;11;11
успокаивающая маска для лица купить;https://da-vita.ru/catalog/zajivlyayushchie-uspokaivayushchie.html;101;101;101;101;101;82;96;97;40;38;40;25;36
успокаивающая маска купить;https://da-vita.ru/catalog/zajivlyayushchie-uspokaivayushchie.html;101;101;101;101;101;37;39;40;36;32;31;33;37
филлер для волос купить;https://da-vita.ru/catalog/filleri-i-ampuli-dlya-volos.html;27;28;25;30;27;101;32;28;27;27;17;22;17
хлавин косметика;https://da-vita.ru/catalog/lavilin__hlavin.html;9;6;6;8;7;8;8;9;11;10;11;6;7
целебная грязь мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;3;3;3;3;3;3;3;3;3;3;3;3;3
целебная грязь мертвого моря отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101
цена на израильскую косметику;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;3;3;3;3;3;3;6;5;6;5;4;3;3
что такое акне;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампуни premier;https://da-vita.ru/catalog/shampuni-ot-vipadeniya-volos/shampun-ot-vipadeniya-volos-premier.html;6;5;4;5;6;5;5;3;5;4;5;4;3
шампунь dr sea;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь dr sea купить;https://da-vita.ru/catalog/dlya_volos_drsea.html;36;41;41;43;41;43;43;41;36;33;26;44;53
шампунь health beauty;https://da-vita.ru/catalog/dlya_volos_man/men_shampoo_hb.html;99;99;100;99;99;95;101;101;47;43;45;40;92
шампунь mon platin dsm;https://da-vita.ru/catalog/ochishchenie-problemnoi-koji-golovi/mineralnii-gryazevoi-shampun-s-oblepihovim-maslom.html;101;101;101;101;101;101;101;101;61;62;62;70;72
шампунь mon platin dsm купить;https://da-vita.ru/catalog/rastitelnie-ekstrakti-idlya-volos/shampun-s-mineralami-mertvogo-morya_dsm.html;14;9;13;16;17;9;12;12;26;21;26;31;37
шампунь активатор роста волос купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь активатор роста волос цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь гель для душа для мужчин купить;https://da-vita.ru/catalog/gel-shampun-dlya-mujchin.html;41;38;19;43;42;37;101;101;101;101;101;24;24
шампунь для блеска волос купить;https://da-vita.ru/catalog/shampuni-dlya-bleska-volos.html;31;28;21;38;37;35;38;32;28;28;30;20;16
шампунь для волос dr sea;https://da-vita.ru/catalog/shampuni-ot-vipadeniya-volos/ozdoravlivayushchii_gryazevoi_shampun_s_ekstraktami_krapivi_i_romashki.html;37;36;42;45;44;42;44;44;51;31;48;35;51
шампунь для волос с маслом арганы купить;https://da-vita.ru/catalog/shampuni-dlya-volos-s-arganovim-maslom/acidshampoo.html;101;101;96;95;95;61;96;96;45;43;45;25;48
шампунь для волос цена;https://da-vita.ru/catalog/shampuni.html;101;101;101;101;101;101;101;101;64;66;63;54;51
шампунь для глубокой очистки волос купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь для кудрявых волос купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь для окрашенных волос цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь для роста волос для мужчин купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь для светлых волос купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь для смешанного типа волос купить;https://da-vita.ru/catalog/shampuni.html;79;77;79;75;63;78;81;79;80;82;81;76;78
шампунь для укрепления волос купить;https://da-vita.ru/catalog/shampuni-dlya-ukrepleniya-volos.html;1;1;2;3;2;3;3;3;3;3;3;1;1
шампунь на основе соли мертвого моря;https://da-vita.ru/catalog/dlya_volos_man/mineralnii-shampun.html;101;101;99;98;98;80;90;90;80;85;86;41;48
шампунь на основе соли мертвого моря отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь нормальных волос купить;https://da-vita.ru/catalog/dlya-normalnih-volos.html;101;101;101;101;101;101;101;101;31;14;34;27;30
шампунь от выпадения волос цена;https://da-vita.ru/catalog/shampuni-ot-vipadeniya-volos.html;41;36;34;34;37;31;41;37;39;37;37;35;33
шампунь от желтизны волос купить;https://da-vita.ru/catalog/shampuni-protiv-jeltizni-volos.html;61;62;58;62;63;63;101;101;57;52;52;52;53
шампунь от перхоти health beauty;-;90;89;85;46;49;44;50;47;45;43;43;46;101
шампунь против выпадения волос для мужчин купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь против выпадения волос купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь против желтизны волос купить;https://da-vita.ru/catalog/shampuni-protiv-jeltizni-volos.html;47;42;41;46;46;44;101;101;101;35;42;34;51
шампунь с кератином для волос купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь с кератином для волос цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101
шампунь с солью мертвого моря;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;80;76;40;76;76;71;85;85;74;74;75;82;84
экспресс кондиционер для волос купить;https://da-vita.ru/catalog/ekspress-kondicioneri-dlya-volos.html;18;16;16;20;21;17;17;14;17;15;18;14;10
элитная косметика для лица;-;101;101;101;101;101;101;101;101;101;101;101;101;101
элитная косметика для мужчин;https://da-vita.ru/catalog/mujchinam.html;8;6;5;11;10;8;11;10;12;10;10;11;14
элитная мужская косметика;https://da-vita.ru/catalog/mujchinam.html;9;6;5;11;9;10;9;12;10;6;10;14;14
эффективный крем от грибка ногтей на ногах;-;101;101;101;101;101;101;101;101;101;101;101;101;101
