phrase;rel_page;2019-01-01;2019-01-02;2019-01-03;2019-01-04;2019-01-05;2019-01-06;2019-01-07;2019-01-08;2019-01-09;2019-01-10;2019-01-11;2019-01-12;2019-01-13;2019-01-14;2019-01-15;2019-01-16;2019-01-17;2019-01-18;2019-01-19;2019-01-20;2019-01-21;2019-01-22;2019-01-23;2019-01-24;2019-01-25;2019-01-26;2019-01-27;2019-01-28;2019-01-29;2019-01-30;2019-01-31;2019-02-01;2019-02-02;2019-02-03;2019-02-04;2019-02-05;2019-02-06;2019-02-07;2019-02-08;2019-02-09;2019-02-10;2019-02-11;2019-02-12;2019-02-13;2019-02-14;2019-02-15;2019-02-16;2019-02-17;2019-02-18;2019-02-19;2019-02-20;2019-02-21;2019-02-22;2019-02-23;2019-02-24;2019-02-25;2019-02-26;2019-02-27;2019-02-28;2019-03-01;2019-03-02;2019-03-03;2019-03-04;2019-03-05;2019-03-06;2019-03-07;2019-03-08;2019-03-09;2019-03-10;2019-03-11;2019-03-12;2019-03-13;2019-03-14;2019-03-15;2019-03-16;2019-03-17;2019-03-18;2019-03-19;2019-03-20;2019-03-21;2019-03-22;2019-03-23;2019-03-24;2019-03-26;2019-03-27;2019-03-28;2019-03-29;2019-03-30;2019-03-31;2019-04-01;2019-04-02;2019-04-03;2019-04-04;2019-04-05;2019-04-06;2019-04-07;2019-04-08;2019-04-09;2019-04-10;2019-04-11;2019-04-12;2019-04-13;2019-04-14;2019-04-15
какой тональный крем лучше для лета;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
каталог косметики для волос;https://da-vita.ru/catalog/volosi.html;101;101;101;77;74;77;63;62;62;65;70;69;85;87;87;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;98;97;93;93;88;99;97;97;100;101;101;97;101;89;94;93;101;94;101;101;101;101;101;70;80;76;101;101;32;36;38;29;33;24;33;28;32;31;35;39;33;39;41;42;44;40;37;33;34;38;36;33;101;35;35;101;39;30;30;46;41;49;98;101;101;101;101;101;101;101;36
каталог косметики мертвого моря;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;1;3;4;2;3;1;4;3;2;2;2;4;3;5;5;5;5;4;2;5;2;2;5;3;2;2;2;2;3;3;2;2;3;3;3;3;2;2;4;3;3;3;3;2;3;2;4;2;5;5;5;5
каталог профессиональной косметики;-;101;101;101;101;6;101;101;101;101;9;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;22;101;101;101;101;101;101;101;101;101;4;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
качественная профессиональная косметика;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
кедем израильская косметика;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;3;3;3;3;3;3;4;3;3;3;3;4;4;4;3;4;3;3;4;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4
кедем косметика;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;3;3;3;3;2;3;3;2;3;3;3;3;2;3;3;2;2;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3
кератиновая маска для волос купить;https://da-vita.ru/catalog/maski-s-keratinom.html;22;21;23;27;21;28;25;28;24;24;25;23;25;28;33;15;31;30;28;30;31;32;33;35;35;30;32;35;27;20;18;18;18;13;15;12;13;13;18;23;20;18;23;14;18;16;15;13;24;16;20;31;26;37;37;39;39;37;42;32;28;24;23;25;35;35;34;30;23;22;23;24;26;28;33;34;31;33;35;36;34;33;37;39;30;37;38;44;30;40;41;47;42;55;46;53;44;54;53;40;38;40;53;53
кератиновый филлер для волос купить;https://da-vita.ru/catalog/filleri-s-keratinom.html;32;41;43;42;39;50;40;40;40;48;51;53;40;48;44;27;46;53;29;46;36;30;51;54;57;43;56;44;58;42;41;54;43;53;42;42;41;41;49;47;44;43;55;38;39;50;41;37;36;37;43;67;52;61;63;69;66;69;63;65;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;68;66;66;101;101;101;101;51;70;39;49;55;43;52;51;44;50;41;42;36;44;42;46;56;45;45;46
кокосовая маска для волос купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
кокосовое масло для тела купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;96;62;96;86;95;88;89;86;66;101;67;87;76;101;66;66;96;66;67;101
коллаген для волос купить;https://da-vita.ru/catalog/kollagen-dlya-volos.html;31;26;30;28;25;32;32;29;33;32;35;32;35;42;41;40;41;19;35;35;20;47;40;38;34;33;37;49;34;46;37;38;38;49;34;35;46;34;34;35;34;38;42;30;31;31;31;31;31;32;31;51;31;34;33;35;33;30;44;33;35;31;26;25;28;26;24;21;21;20;22;22;16;18;23;21;21;28;30;29;25;26;27;28;29;36;29;46;44;47;50;48;28;48;16;47;30;32;50;31;49;30;35;50
коллагеновая маска для глаз купить;https://da-vita.ru/catalog/maski-dlya-glaz-s-kollagenom.html;26;24;26;23;23;28;30;30;29;27;27;27;29;29;28;35;33;26;28;29;34;37;29;29;33;30;31;31;33;32;29;30;30;31;28;26;41;30;30;33;28;28;34;34;28;30;26;22;22;25;29;40;36;43;37;44;47;37;43;37;35;34;32;29;40;34;33;25;28;25;28;27;25;101;101;101;101;36;32;32;32;30;34;97;31;29;30;28;29;34;33;101;36;45;45;36;101;41;40;42;39;36;40;42
коллагеновая маска купить;https://da-vita.ru/catalog/kollagenovie-maski.html;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;99;101;101;101;101;101;101;101;101;101;101;101;101;101;101;62;57;74;66;101;101;68;101;69;72;101;95;64;70;66;70;72;74
коллагеновая маска цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;97;100;96;101;77;76;77;97;79;82;80;90;82;81;101;93;93;90;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
коллагеновые маски патчи под глаза;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
коллагеновый крем вокруг глаз;https://da-vita.ru/catalog/kollagenovie-kremi-dlya-koji-vokrug-glaz.html;32;31;32;32;28;33;33;32;34;31;32;31;29;31;25;26;28;28;28;33;33;33;34;34;18;24;32;37;31;24;24;28;30;29;30;27;31;31;34;29;39;28;41;34;23;29;22;21;23;22;29;41;30;35;26;32;36;36;37;23;27;25;23;29;26;34;26;22;18;14;24;31;25;22;23;26;25;24;25;26;25;25;29;26;23;28;24;31;32;34;33;35;42;48;46;33;43;38;39;29;42;29;29;47
коллагеновый крем для кожи вокруг глаз;https://da-vita.ru/catalog/kollagenovie-kremi-dlya-koji-vokrug-glaz.html;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;36;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;90;101;97;37;95;32;30;23;23;27;26;26;23;16;22;32;33;21;19;30;23;23;24;28;28;23;36;41;34;26;39;36;40;34;43;39;43;47;52;51;59;39;33;61;56;50;40;49;55
коллагеновый крем купить;https://da-vita.ru/catalog/kollagenovie-kremi.html;44;46;45;46;47;49;49;58;57;50;53;54;51;56;54;85;80;57;101;55;51;57;53;57;55;53;57;61;57;101;51;49;52;49;49;48;48;48;81;50;50;49;82;83;84;46;46;43;48;46;49;67;83;83;86;88;98;65;64;65;61;64;57;60;65;64;67;68;50;57;46;51;53;56;52;59;56;51;58;59;59;59;81;64;56;68;62;59;62;62;62;75;68;69;69;63;69;66;68;67;65;68;67;87
кондиционер для блеска волос купить;https://da-vita.ru/catalog/kondicioner-dlya-bleska-volos.html;7;25;23;24;18;31;23;22;19;21;23;21;22;30;14;8;8;10;18;9;12;28;29;23;34;21;45;24;48;38;19;28;15;21;18;18;18;13;27;20;18;16;41;17;16;22;13;17;14;14;21;51;23;32;23;29;20;16;21;19;20;18;21;16;15;24;21;13;11;11;11;11;11;12;12;17;15;16;14;13;18;16;20;15;13;35;15;15;16;35;18;50;22;40;21;15;38;12;35;34;41;25;101;30
кондиционер для волос с аргановым маслом купить;https://da-vita.ru/catalog/kondicioneri-dlya-volos-s-arganovim-maslom.html;16;22;23;24;21;30;24;24;27;26;30;26;25;30;27;22;30;29;29;21;27;25;29;29;22;22;28;28;26;22;25;25;27;27;28;26;26;28;29;28;30;31;40;23;24;21;7;11;21;9;19;32;22;23;17;22;11;14;8;9;24;24;23;17;22;20;21;19;15;16;16;15;21;21;20;21;21;19;23;22;19;21;25;20;24;20;20;24;20;20;22;22;19;21;19;15;17;23;17;18;23;15;16;22
кондиционер для волос цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
кондиционер для вьющихся волос купить;https://da-vita.ru/catalog/dlya-vyushchihsya-i-kudryavih-volos.html;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;44;40;38;40;29;44;33;31;29;41;33;35;25;33;31;25;29;31;33;39;35;38;45;44;31;24;26;31;34;101;101;31;24;34;30;27;39;59;50;35;62;42;23;90;91;89;38;97
кондиционер для окрашенных волос;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
кондиционер для осветленных волос купить;https://da-vita.ru/catalog/kondicioneri-dlya-osvetlennih-volos.html;23;26;26;26;18;31;28;32;27;6;26;29;29;30;6;34;11;31;6;50;36;33;35;36;24;22;38;52;40;35;41;41;31;23;57;22;24;24;27;24;37;20;33;20;20;32;31;19;19;31;24;49;29;41;49;41;43;39;25;10;40;6;42;35;35;40;39;31;28;18;20;17;17;15;19;21;19;23;20;18;34;11;15;22;5;6;4;6;4;5;6;8;5;10;9;9;9;9;6;5;6;11;14;17
кондиционер для поврежденных волос купить;https://da-vita.ru/catalog/kondicioneri-dlya-povrejdennih-volos.html;30;29;14;30;27;30;27;27;22;27;24;25;28;23;25;32;30;19;28;27;28;31;31;35;27;29;31;39;31;30;25;49;27;26;26;27;27;25;30;32;34;32;33;25;26;31;25;35;22;29;25;36;28;35;31;29;30;28;34;27;32;13;11;13;13;14;22;18;12;19;20;21;18;20;18;21;19;23;23;21;22;17;22;18;20;21;20;22;20;20;38;22;18;49;26;46;65;48;46;48;63;48;41;39
кондиционер для тонких волос купить;https://da-vita.ru/catalog/kondicioneri-dlya-tonkih-volos.html;6;16;17;16;15;19;14;12;14;14;15;17;21;22;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;15;14;13;17;18;25;17;20;18;23;23;23;25;24;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;16;8;10;8;8;17;101;17;19;19;18;17;21;18;18;20;101;16;19
концентрация соли в мертвом море;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
корейские маски для лица тканевые купить;https://da-vita.ru/catalog/koreiskie-tkanevie-maski.html;101;97;95;100;49;101;101;101;101;92;95;97;101;101;101;70;72;69;65;71;92;69;71;56;63;66;63;61;96;89;61;63;62;64;65;61;62;61;61;61;68;61;76;64;62;71;68;61;61;74;57;73;69;72;70;74;66;70;73;71;68;66;64;28;29;36;31;33;22;21;21;30;33;28;26;28;26;29;32;31;28;30;30;35;32;101;39;39;37;89;35;36;47;101;101;40;101;39;101;101;101;36;33;34
корейские тканевые маски купить;https://da-vita.ru/catalog/koreiskie-tkanevie-maski.html;44;46;48;48;46;56;49;48;46;52;51;49;49;50;49;49;50;33;50;32;54;35;53;54;45;46;37;43;44;40;39;42;39;40;33;35;36;31;40;41;38;38;45;43;35;35;34;28;37;27;37;65;47;50;42;34;35;45;56;47;40;26;27;25;21;22;20;29;25;20;21;24;23;22;21;25;25;25;30;26;25;33;36;30;42;39;44;39;38;32;39;37;34;42;43;40;41;35;43;44;47;34;35;35
корейский крем для жирной кожи на лето;-;58;62;62;62;61;68;64;63;62;60;61;59;60;65;60;57;62;52;58;101;56;54;55;48;60;62;66;73;69;101;65;67;67;66;66;68;67;62;64;62;58;57;75;64;61;69;69;64;61;67;55;70;48;67;54;34;33;32;25;33;101;101;101;27;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;62;101;101;101;101;101;101;101
косметика ahava интернет магазин;https://da-vita.ru/catalog/ahava.html;8;8;8;7;7;7;7;7;7;7;7;7;7;12;5;6;6;7;8;7;7;7;7;7;8;7;7;7;5;6;5;7;6;8;8;5;5;5;6;8;6;6;9;9;6;8;7;6;6;5;6;11;6;7;6;6;6;6;9;8;7;7;7;7;7;7;8;8;8;7;8;7;7;8;8;17;10;10;8;9;9;9;10;11;7;7;7;8;8;9;8;7;13;10;12;9;9;8;8;9;10;8;7;7
косметика arganicare;https://da-vita.ru/catalog/arganicare.html;5;5;5;5;3;5;5;4;4;4;3;4;4;4;4;5;5;5;4;4;5;5;5;5;3;3;3;3;3;5;3;5;3;3;3;5;3;3;3;3;3;3;3;4;3;4;3;3;3;3;4;5;3;4;4;3;3;3;5;5;6;3;4;5;5;5;4;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;7;5;6;7;6;6;6;8;6;6;7;7;6;6;8;7;7;6;7;7;8;6
косметика careline;https://da-vita.ru/catalog/careline.html;4;5;5;3;5;5;5;5;5;4;4;4;5;4;4;5;5;4;5;5;5;4;4;5;5;5;5;5;5;4;4;4;5;4;3;4;4;4;4;6;4;4;5;5;3;5;3;3;3;4;4;6;6;3;5;6;5;3;4;3;4;3;3;3;4;5;5;5;3;4;4;6;6;3;4;4;4;5;4;4;5;4;5;3;5;4;4;4;4;5;6;4;5;6;6;6;6;6;6;6;6;6;6;6
косметика careline купить;https://da-vita.ru/catalog/careline.html;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;2;1;3;2;1;3;3;3;3;3;3;3;3;4;3;4;4
косметика dr sea;https://da-vita.ru/catalog/drsea.html;32;36;48;50;47;27;46;49;45;47;82;83;51;81;48;56;56;59;49;50;61;53;44;52;62;55;56;55;55;54;60;55;52;54;59;59;55;53;59;59;59;56;62;61;48;60;68;41;58;50;52;61;57;63;61;62;62;59;69;58;65;58;55;64;55;57;50;50;56;52;55;54;45;49;46;46;46;47;52;53;55;53;54;56;47;51;35;48;46;49;48;48;60;63;61;61;54;58;53;52;51;50;54;56
косметика dr sea для волос;https://da-vita.ru/catalog/dlya_volos_drsea.html;11;10;10;10;10;12;10;10;11;12;14;11;11;15;11;12;12;11;11;14;14;15;12;12;12;9;12;23;10;11;9;11;11;11;10;9;25;8;19;11;9;9;18;17;8;10;9;8;9;9;8;17;9;13;12;7;10;7;11;7;7;8;9;7;8;7;7;8;7;8;9;8;10;11;10;13;11;14;18;16;16;11;15;14;13;16;15;12;15;16;13;13;13;30;32;28;12;12;19;14;15;17;23;35
косметика health beauty;https://da-vita.ru/catalog/health-amp-beauty.html;22;29;23;38;25;30;24;25;17;28;23;23;21;25;25;24;23;17;21;17;18;19;21;21;21;22;21;23;24;22;20;16;19;35;22;21;21;23;40;23;22;19;26;27;21;26;37;19;23;45;24;42;35;41;36;35;36;33;36;34;30;31;34;15;45;42;42;44;45;31;35;46;40;34;34;36;36;38;45;43;44;39;41;43;41;45;46;34;39;37;41;37;42;45;49;40;44;47;44;43;36;35;38;43
косметика hlavin;https://da-vita.ru/catalog/lavilin__hlavin.html;10;11;12;11;10;13;12;12;12;11;11;12;7;19;10;9;10;11;9;10;11;10;11;12;10;10;10;10;14;10;12;12;13;17;14;15;15;13;16;18;16;17;23;31;15;21;23;9;20;10;22;26;24;30;28;33;32;29;31;30;11;24;26;25;20;20;20;19;18;13;18;26;19;22;22;21;22;22;23;20;20;14;16;18;13;14;20;14;14;14;21;15;18;24;27;22;21;22;19;19;20;23;24;25
косметика kedem из израиля;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;3;3;4;3;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;3;4;4;4;3;3;3;3;4;3;3;3;3;3;3;3;3;3;4;3;3;3;4;4;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
косметика lavilin;https://da-vita.ru/catalog/lavilin__hlavin.html;3;3;3;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;4;4;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;6;7;7;8;7;5;6;5;5;6;9;10;9;11;13;13;12;14;9;7;10;14;7;11;8;10;9;8;7;8;10;10;11;12;13;13;14;14;13;11;11;18;13;7;8;8;7;8;4;5;6;13;5;14;12;12;12;14;13;10;101;14;14
косметика mon platin;https://da-vita.ru/catalog/mon-platin.html;17;22;20;19;15;21;20;20;25;27;23;26;25;29;22;21;19;28;11;23;22;23;23;30;32;28;31;79;30;37;27;30;23;32;32;31;30;25;24;27;19;19;30;32;28;23;24;37;19;37;27;31;26;31;22;23;27;26;17;14;19;20;23;22;22;22;25;28;22;42;23;28;21;29;29;32;32;36;42;38;36;36;42;44;32;38;39;40;47;40;37;53;41;40;39;41;41;47;44;44;44;74;45;54
косметика mon platin купить;https://da-vita.ru/catalog/mon-platin-dsm.html;6;5;5;6;6;6;6;6;6;6;6;6;6;6;7;6;6;7;6;6;7;7;7;7;7;5;6;5;5;6;6;8;7;7;7;6;6;6;7;6;6;7;9;9;5;6;6;10;6;6;10;14;11;11;8;10;10;7;7;8;12;13;12;13;11;10;11;11;10;12;9;9;10;12;12;14;15;16;20;11;13;10;21;10;13;17;15;16;14;15;12;13;13;11;14;13;14;12;12;12;14;12;12;15
косметика natural formula;https://da-vita.ru/catalog/natural_formula.html;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;5;5;5;4;4;4;5
